epochMean,epochStart,epochEnd,epochRange,constellation,satID,obsType,arcNo,arcType,azimStart,azimEnd,azimMean,elevStart,elevEnd,elevRange,h,peakAmp,meanAmp,PBNR
2022-01-01 00:04:15.000000,2022-01-01 00:00:00,2022-01-01 00:08:30,510.0,C,C22,S1X,1,-1,144.5034995889377,147.30089364276407,145.90935560325892,2.769520674260122,2.0535428954495054,0.7159777788106165,10.0,5.81437684550828,2.0356614175332095,2.8562592951012813
2022-01-01 00:04:30.000000,2022-01-01 00:00:00,2022-01-01 00:09:00,540.0,C,C22,S2I,1,-1,144.5034995889377,147.46250612789996,145.99110048005707,2.769520674260122,2.004586354587425,0.764934319672697,10.0,4.260417788499421,1.0838781930498331,3.9307163995166206
2022-01-01 00:04:30.000000,2022-01-01 00:00:00,2022-01-01 00:09:00,540.0,C,C22,S6I,1,-1,144.5034995889377,147.46250612789996,145.99110048005707,2.769520674260122,2.004586354587425,0.764934319672697,9.999999999999998,4.700944806781039,1.337859876911299,3.513779647562235
2022-01-01 00:07:45.000000,2022-01-01 00:00:00,2022-01-01 00:15:30,930.0,G,G31,S1C,1,1,220.56027342925609,225.7130842725802,223.0718269062706,11.682271405863688,14.972761530061408,3.2904901241977207,7.68,4.289291474709074,2.0334755745796276,2.109340052238288
2022-01-01 00:07:45.000000,2022-01-01 00:00:00,2022-01-01 00:15:30,930.0,G,G31,S2W,1,1,220.56027342925609,225.7130842725802,223.0718269062706,11.682271405863688,14.972761530061408,3.2904901241977207,5.12,3.135513869393707,1.2726141672536,2.463836997949181
2022-01-01 00:07:45.000000,2022-01-01 00:00:00,2022-01-01 00:15:30,930.0,G,G31,S2X,1,1,220.56027342925609,225.7130842725802,223.0718269062706,11.682271405863688,14.972761530061408,3.2904901241977207,4.45,5.271003742530448,2.527959146146158,2.085082644854458
2022-01-01 00:09:30.000000,2022-01-01 00:00:00,2022-01-01 00:19:00,1140.0,R,R04,S1C,1,1,131.69659003605494,140.85627614679012,136.27179777251007,9.081484064549645,9.966862931970583,0.885378867420938,9.999999999999991,3.7757821132001794,1.3388356779388058,2.8201983076916175
2022-01-01 00:09:30.000000,2022-01-01 00:00:00,2022-01-01 00:19:00,1140.0,R,R04,S1P,1,1,131.69659003605494,140.85627614679012,136.27179777251007,9.081484064549645,9.966862931970583,0.885378867420938,9.999999999999991,1.77110505555678,0.5580768534407776,3.173586298441111
2022-01-01 00:09:30.000000,2022-01-01 00:00:00,2022-01-01 00:19:00,1140.0,R,R04,S2C,1,1,131.69659003605494,140.85627614679012,136.27179777251007,9.081484064549645,9.966862931970583,0.885378867420938,9.990000000000009,4.822829805014946,1.6801334248608757,2.8705040526256433
2022-01-01 00:09:30.000000,2022-01-01 00:00:00,2022-01-01 00:19:00,1140.0,R,R04,S2P,1,1,131.69659003605494,140.85627614679012,136.27179777251007,9.081484064549645,9.966862931970583,0.885378867420938,9.530000000000008,2.867685349946779,1.0906931708298637,2.6292319660944377
2022-01-01 00:14:27.894736,2022-01-01 00:00:00,2022-01-01 00:32:00,1920.0,G,G06,S2W,1,-1,136.574848977354,133.47434327912418,135.39824848641794,14.404589239420561,2.286070017841114,12.118519221579447,4.499999999999999,0.8436740492014849,0.23382439401573044,3.6081524032292673
2022-01-01 00:15:02.950819,2022-01-01 00:00:00,2022-01-01 00:32:00,1920.0,G,G06,S2X,1,-1,136.574848977354,133.47434327912418,135.34420197064583,14.404589239420561,2.286070017841114,12.118519221579447,4.539999999999999,14.748045532835551,3.0543872135725083,4.8284793320574995
2022-01-01 00:15:33.809523,2022-01-01 00:00:00,2022-01-01 00:32:00,1920.0,G,G06,S1C,1,-1,136.574848977354,133.47434327912418,135.28806295024447,14.404589239420561,2.286070017841114,12.118519221579447,4.66,6.477690446021547,1.2330499441099914,5.253388540313432
2022-01-01 00:19:45.000000,2022-01-01 00:05:00,2022-01-01 00:34:30,1770.0,R,R12,S1C,1,1,206.6110681411819,209.04767036161792,207.5134700847173,2.078781654282884,14.958271763510739,12.879490109227856,4.750000000000001,18.588378551879128,4.160283206617281,4.468056050201762
2022-01-01 00:19:45.000000,2022-01-01 00:05:00,2022-01-01 00:34:30,1770.0,R,R12,S1P,1,1,206.6110681411819,209.04767036161792,207.5134700847173,2.078781654282884,14.958271763510739,12.879490109227856,4.73,13.017650950429099,3.325258241382051,3.914778945113951
2022-01-01 00:19:45.000000,2022-01-01 00:05:00,2022-01-01 00:34:30,1770.0,R,R12,S2C,1,1,206.6110681411819,209.04767036161792,207.5134700847173,2.078781654282884,14.958271763510739,12.879490109227856,4.44,15.007896464747459,2.742342128177656,5.472656496992417
2022-01-01 00:19:45.000000,2022-01-01 00:05:00,2022-01-01 00:34:30,1770.0,R,R12,S2P,1,1,206.6110681411819,209.04767036161792,207.5134700847173,2.078781654282884,14.958271763510739,12.879490109227856,4.470000000000001,12.12887929141859,2.213456258996069,5.47961101201961
2022-01-01 00:47:45.000000,2022-01-01 00:19:30,2022-01-01 01:16:00,3390.0,R,R04,S1C,2,-1,141.09698399460265,165.46962959679323,153.89352414700758,9.965626488337904,2.001875408994416,7.963751079343488,4.499999999999999,19.436430689431337,4.0075218424111405,4.849987462011519
2022-01-01 00:47:45.000000,2022-01-01 00:19:30,2022-01-01 01:16:00,3390.0,R,R04,S1P,2,-1,141.09698399460265,165.46962959679323,153.89352414700758,9.965626488337904,2.001875408994416,7.963751079343488,4.52,16.929974908929,3.0252841755422644,5.596160203989565
2022-01-01 00:47:45.000000,2022-01-01 00:19:30,2022-01-01 01:16:00,3390.0,R,R04,S2C,2,-1,141.09698399460265,165.46962959679323,153.89352414700758,9.965626488337904,2.001875408994416,7.963751079343488,4.52,17.738064997837213,4.00412474414286,4.42994814878933
2022-01-01 00:47:45.000000,2022-01-01 00:19:30,2022-01-01 01:16:00,3390.0,R,R04,S2P,2,-1,141.09698399460265,165.46962959679323,153.89352414700758,9.965626488337904,2.001875408994416,7.963751079343488,4.529999999999999,17.193601094281384,3.48619939395426,4.931904102817066
2022-01-01 01:17:58.260869,2022-01-01 01:00:30,2022-01-01 01:35:00,2070.0,G,G26,S1C,1,1,220.42156374353868,222.36902190406704,221.074836263231,2.48317853369971,14.93606175803445,12.452883224334741,4.66,5.706761510467427,1.4985752683777487,3.808124710776231
2022-01-01 01:17:58.260869,2022-01-01 01:00:30,2022-01-01 01:35:00,2070.0,G,G26,S2X,1,1,220.42156374353868,222.36902190406704,221.074836263231,2.48317853369971,14.93606175803445,12.452883224334741,4.51,11.614979093816403,1.9838980768430834,5.85462490709148
2022-01-01 01:18:11.470588,2022-01-01 01:00:30,2022-01-01 01:35:00,2070.0,G,G26,S2W,1,1,220.42156374353868,222.36902190406704,221.08426397415525,2.48317853369971,14.93606175803445,12.452883224334741,4.55,3.7889003318293866,0.8316017078082091,4.556147848488083
2022-01-01 01:45:45.000000,2022-01-01 01:40:30,2022-01-01 01:51:00,630.0,E,E09,S1X,1,1,130.09144759650596,133.45165453882538,131.77440006144906,7.017746143161241,7.1739171300724776,0.15617098691123665,9.990000000000006,0.06686214568436222,0.02216973660053287,3.015919714750022
2022-01-01 01:45:45.000000,2022-01-01 01:40:30,2022-01-01 01:51:00,630.0,E,E09,S6X,1,1,130.09144759650596,133.45165453882538,131.77440006144906,7.017746143161241,7.1739171300724776,0.15617098691123665,10.000000000000044,0.005143763562689144,0.0017398731016284351,2.9564015662262015
2022-01-01 01:45:45.000000,2022-01-01 01:40:30,2022-01-01 01:51:00,630.0,E,E09,S7X,1,1,130.09144759650596,133.45165453882538,131.77440006144906,7.017746143161241,7.1739171300724776,0.15617098691123665,9.999999999999972,0.05434688292578615,0.01809149622499888,3.004001562385397
2022-01-01 01:45:45.000000,2022-01-01 01:40:30,2022-01-01 01:51:00,630.0,E,E09,S8X,1,1,130.09144759650596,133.45165453882538,131.77440006144906,7.017746143161241,7.1739171300724776,0.15617098691123665,9.99999999999997,0.07031070389351787,0.02328253780342537,3.0198900346324633
2022-01-01 01:54:15.000000,2022-01-01 01:51:30,2022-01-01 01:57:00,330.0,G,G31,S1C,2,-1,267.4703116406463,269.79647919913896,268.63680992796395,14.95317836607179,13.944406475768185,1.0087718903036045,7.1099999999999985,2.888198655538598,1.5486722367392296,1.8649515288139837
2022-01-01 01:54:15.000000,2022-01-01 01:51:30,2022-01-01 01:57:00,330.0,G,G31,S2W,2,-1,267.4703116406463,269.79647919913896,268.63680992796395,14.95317836607179,13.944406475768185,1.0087718903036045,9.789999999999997,1.2666080045622123,0.5076157599191623,2.4952101659805033
2022-01-01 01:54:15.000000,2022-01-01 01:51:30,2022-01-01 01:57:00,330.0,G,G31,S2X,2,-1,267.4703116406463,269.79647919913896,268.63680992796395,14.95317836607179,13.944406475768185,1.0087718903036045,8.989999999999998,3.237062534549852,1.4044233729858564,2.3049050569898566
2022-01-01 02:05:33.925233,2022-01-01 01:39:00,2022-01-01 02:33:00,3240.0,C,C21,S1X,2,-1,136.24131408488333,149.31779591594042,143.41249509237502,14.977435631346873,2.0854674893278795,12.891968142018994,4.66,6.8590187331124834,1.2876798220023846,5.326649230587836
