epochMean,epochStart,epochEnd,epochRange,constellation,satID,obsType,arcNo,arcType,azimStart,azimEnd,azimMean,elevStart,elevEnd,elevRange,h,peakAmp,meanAmp,PBNR
2022-01-04 10:20:00.000000,2022-01-04 09:56:00,2022-01-04 10:44:00,2880.0,C,C41,S2I,1,1,258.9006871981859,245.52228289244945,252.11605712190735,2.007086323195883,14.873566280388529,12.866479957192645,4.680000000000001,11.345548123006312,2.3776688678829587,4.771710761014514
2022-01-04 10:20:02.837837,2022-01-04 10:01:00,2022-01-04 10:41:30,2430.0,G,G25,S1C,4,-1,132.14037353269381,146.87875537642097,139.2317569984209,5.050648081584002,2.1621516716418268,2.888496409942175,5.080000000000002,8.166736943712321,3.6580620354868048,2.232531013549505
2022-01-04 10:20:30.000000,2022-01-04 09:43:00,2022-01-04 10:58:00,4500.0,C,C27,S2I,1,1,209.3221404748825,233.48119903472644,220.55036856816906,2.0333499938953867,11.00771028833111,8.974360294435723,4.64,10.795760583253957,2.2653859764334285,4.765528124373116
2022-01-04 10:20:45.000000,2022-01-04 09:43:30,2022-01-04 10:58:00,4470.0,C,C27,S1X,1,1,209.4438394998858,233.48119903472644,220.62531152256423,2.144720517968914,11.00771028833111,8.862989770362196,4.6800000000000015,6.845640029942508,1.2755279716227237,5.366907023789922
2022-01-04 10:22:45.000000,2022-01-04 10:00:30,2022-01-04 10:45:00,2670.0,R,R07,S1C,3,1,263.95659331204155,245.6641201529544,254.8377084473672,2.02237516557759,14.96894521207366,12.94657004649607,4.63,13.752273962736218,3.4434800495057045,3.9937138490784325
2022-01-04 10:22:45.000000,2022-01-04 10:00:30,2022-01-04 10:45:00,2670.0,R,R07,S1P,3,1,263.95659331204155,245.6641201529544,254.8377084473672,2.02237516557759,14.96894521207366,12.94657004649607,4.6,11.956122984592742,2.5327354796306545,4.720636276764397
2022-01-04 10:23:30.000000,2022-01-04 10:05:00,2022-01-04 10:42:00,2220.0,R,R14,S1C,4,-1,149.22883733022704,159.92563249593098,155.0940809537845,14.896604326434217,2.2729657311928295,12.623638595241387,4.829999999999999,17.31757360572227,4.726090814249231,3.6642490139016246
2022-01-04 10:23:30.000000,2022-01-04 10:05:00,2022-01-04 10:42:00,2220.0,R,R14,S1P,4,-1,149.22883733022704,159.92563249593098,155.0940809537845,14.896604326434217,2.2729657311928295,12.623638595241387,4.819999999999999,13.86825571819998,3.7284417665315988,3.719584906136537
2022-01-04 10:41:34.090909,2022-01-04 10:25:00,2022-01-04 10:58:30,2010.0,G,G19,S1C,2,-1,226.39753555238048,239.3873845751121,232.8377456254418,4.307729220620993,2.0548006569997326,2.25292856362126,4.3,16.89080619875186,6.423411707344243,2.629569295618972
2022-01-04 10:43:30.000000,2022-01-04 10:04:00,2022-01-04 11:23:00,4740.0,E,E30,S1X,3,-1,130.06049785925788,151.80704925303488,141.8455749138741,11.802440563015466,2.193001436280196,9.60943912673527,4.8,9.235074233438624,2.007653055371173,4.599935336801135
2022-01-04 10:58:15.000000,2022-01-04 10:49:00,2022-01-04 11:07:30,1110.0,E,E04,S1X,1,1,269.9659195078496,264.48692476017396,267.23003361031624,10.914078502617754,14.983753423147416,4.069674920529662,2.91,2.571336559396204,1.241546361626559,2.071075747850026
2022-01-04 11:12:10.714285,2022-01-04 10:50:30,2022-01-04 11:33:00,2550.0,G,G06,S1C,2,1,210.57672695142108,220.84729009199947,215.25078444956142,2.3117795436221518,14.98209125692561,12.670311713303459,4.470000000000001,7.149881040556129,1.754879704638265,4.074285560234421
2022-01-04 11:37:45.000000,2022-01-04 10:58:30,2022-01-04 12:17:00,4710.0,C,C27,S1X,2,-1,233.66900642449184,262.2354067042784,248.26020594326394,11.006968708638668,2.0036393798697953,9.003329328768872,4.539999999999999,8.441831584919958,1.7039752584054066,4.95419845052204
2022-01-04 11:37:45.000000,2022-01-04 10:58:30,2022-01-04 12:17:00,4710.0,C,C27,S2I,2,-1,233.66900642449184,262.2354067042784,248.26020594326394,11.006968708638668,2.0036393798697953,9.003329328768872,4.550000000000001,9.861390335425932,2.545760646880488,3.8736518091399663
2022-01-04 12:06:45.000000,2022-01-04 11:52:00,2022-01-04 12:21:30,1770.0,R,R15,S1C,4,-1,150.94350257648955,153.6528873635827,152.61667661269723,14.940916897273903,2.126725376531471,12.814191520742432,4.419999999999999,23.224555118437088,6.224471572979443,3.7311689588647736
2022-01-04 12:06:45.000000,2022-01-04 11:52:00,2022-01-04 12:21:30,1770.0,R,R15,S1P,4,-1,150.94350257648955,153.6528873635827,152.61667661269723,14.940916897273903,2.126725376531471,12.814191520742432,4.3999999999999995,18.287366588245884,4.228288284682931,4.325004672574545
2022-01-04 12:20:30.000000,2022-01-04 12:03:30,2022-01-04 12:37:30,2040.0,G,G31,S1C,4,-1,133.66637686778725,130.08796088600963,132.1055921467853,14.94481857052778,2.314373038484751,12.630445532043028,4.489999999999999,11.82204822751534,2.447883710180345,4.829497487298678
2022-01-04 12:25:56.956521,2022-01-04 12:08:30,2022-01-04 12:43:00,2070.0,R,R08,S1C,3,1,234.9501698380962,224.47020876163256,229.5212892907467,2.2897466848099923,14.89219261578003,12.602445930970037,4.33,9.943666979351349,2.599456340840551,3.8252871660602694
2022-01-04 12:25:56.956521,2022-01-04 12:08:30,2022-01-04 12:43:00,2070.0,R,R08,S1P,3,1,234.9501698380962,224.47020876163256,229.5212892907467,2.2897466848099923,14.89219261578003,12.602445930970037,4.25,6.625693393577695,1.8364070176800396,3.607965625152115
2022-01-04 12:31:45.394736,2022-01-04 12:13:00,2022-01-04 12:51:00,2280.0,C,C26,S1X,4,-1,137.66174351888066,137.49044272848025,137.9161736175624,14.861986713423752,2.06666362167009,12.795323091753662,4.53,6.510206748904887,1.7023637116363115,3.824216120447773
2022-01-04 12:31:45.394736,2022-01-04 12:13:00,2022-01-04 12:51:00,2280.0,C,C26,S2I,4,-1,137.66174351888066,137.49044272848025,137.9161736175624,14.861986713423752,2.06666362167009,12.795323091753662,4.42,8.629721361329576,2.2141883118734915,3.89746496043406
2022-01-04 12:55:44.615384,2022-01-04 12:36:00,2022-01-04 13:15:00,2340.0,C,C32,S1X,2,1,230.97254913276225,226.13208766627068,228.25710977864094,2.0738416039132614,14.931151118856727,12.857309514943466,4.2,8.318714265732783,1.97334395555099,4.2155419699299514
2022-01-04 12:55:44.615384,2022-01-04 12:36:00,2022-01-04 13:15:00,2340.0,C,C32,S2I,2,1,230.97254913276225,226.13208766627068,228.25710977864094,2.0738416039132614,14.931151118856727,12.857309514943466,4.13,11.242794778697148,2.2991861677655208,4.889901886293763
