Grup,N,VLT [m],Korelasyon (r),R^2,Regresyon eğimi,KOH / RMSE [m],Bias / Ortalama hata [m],Std [m]
SWG (0.00-0.20 m),1416,5.0172,0.1567,0.0246,0.0272,1.8446,-0.6113,1.741
LWG (0.20-0.50 m),1460,4.9245,0.1417,0.0201,0.0216,2.1257,-0.861,1.9442
